Time,Price,BarState,LiveState,Priority,Composite,TideComp,MarketPhase,InversionActive,RatioScore,FastScore,FastDir,SlowDir,Bias,Tier3Score,CombinedTier,BearDomPct,BullDomPct,DomPriceChange,PriceChangeShort,CountBull,CountBear
55:00.4,7247,TICK,BullTrend,P4_VOTE_BULL,-3.9,10.6,NEUTRAL,N,49.3,50,ASK_STRONG,ASK_STRONG,BAL,0,0,0,0,0.5,0,3,0
55:03.1,7247,TICK,BearWarning,P3_DISTRIBUTION,-3.3,10.7,DISTRIBUTION,N,47.3,41.6,ASK_STRONG,ASK_STRONG,BAL,0,0,0,0,0.5,0,3,0
55:05.3,7247,TICK,BearWarning,P3_DISTRIBUTION,-3.2,10.7,DISTRIBUTION,N,45.4,32.6,ASK_STRONG,ASK_STRONG,BAL,0,0,0,0,0.5,0,3,0
55:06.4,7247,TICK,BearWarning,P3_DISTRIBUTION,-3.2,10.7,DISTRIBUTION,N,44.3,31.1,ASK_STRONG,ASK_STRONG,BAL,0,0,0,0,0.5,0,3,0
55:08.9,7247,TICK,BearWarning,P3_DISTRIBUTION,-3.1,10.5,DISTRIBUTION,N,43.7,28.1,ASK_STRONG,ASK_STRONG,BAL,0,0,0,0,0.5,0,3,0
55:09.8,7247.25,BAR_CLOSE,BearWarning,FINALIZED,-2.1,10.7,NEUTRAL,Y,44,27.4,ASK_STRONG,ASK_STRONG,BAL,0,0,0,0,0.75,0,3,0
55:10.2,7248.5,TICK,BearWarning,P3_DISTRIBUTION,-2.1,10.7,DISTRIBUTION,N,44.6,21.5,ASK,ASK_STRONG,BAL,0,0,0,0,2,-0.25,4,0
55:12.2,7248.5,TICK,BullTrend,P4_VOTE_BULL,-2.6,10.5,NEUTRAL,N,44.9,14,ASK,ASK_STRONG,BAL,0,0,0,0,2,0,4,0
55:14.5,7248.5,TICK,BearWarning,P3_DISTRIBUTION,-0.6,10.7,DISTRIBUTION,N,43,-6.5,BAL,ASK_STRONG,BAL,0,0,0,0,2,0,4,0
55:16.0,7248.25,TICK,BearWarning,P3_DISTRIBUTION,-0.7,10.7,DISTRIBUTION,Y,41.8,-13.8,BID,ASK_STRONG,BAL,0,0,0,0,1.75,-0.25,4,0
55:17.1,7248.25,TICK,BearWarning,P3_DISTRIBUTION,-0.8,10.7,DISTRIBUTION,N,40.2,-19.7,BID,ASK_STRONG,BAL,0,0,0,0,1.75,-0.25,4,0
55:18.6,7248.25,TICK,BearWarning,P3_DISTRIBUTION,-0.8,10.7,DISTRIBUTION,Y,37.3,-17.9,BID,ASK_STRONG,BAL,0,0,0,0,1.75,0,4,0
55:23.9,7248.25,TICK,BullTrend,P4_VOTE_BULL,-0.8,10.7,NEUTRAL,N,31.5,-7.8,BAL,ASK_STRONG,BAL,0,0,0,0,1.75,0,4,0
55:25.5,7248.25,TICK,BullTrend,P4_VOTE_BULL,-1.8,10.4,NEUTRAL,Y,29,-7.1,BAL,ASK_STRONG,BAL,0,0,0,0,1.75,0,4,0
55:26.6,7248,TICK,BullTrend,P4_VOTE_BULL,-1.5,10.3,NEUTRAL,Y,28,-7.5,BAL,ASK_STRONG,BAL,0,0,0,0,1.5,-0.25,4,0
55:27.7,7248,TICK,BullTrend,P4_VOTE_BULL,-1.4,10.3,NEUTRAL,N,26.3,-6.3,BAL,ASK_STRONG,BAL,0,0,0,0,1.5,-0.25,4,0
55:28.8,7248,TICK,BullTrend,P4_VOTE_BULL,-1.4,10.3,NEUTRAL,N,26.9,-6.7,BAL,ASK_STRONG,BAL,0,0,0,0,1.5,-0.25,4,0
55:30.8,7248,TICK,BullTrend,P4_VOTE_BULL,-1.4,10.3,NEUTRAL,N,26.1,-7.1,BAL,ASK_STRONG,BAL,0,0,0,0,1.5,-0.25,4,0
55:32.2,7248,TICK,BullTrend,P4_VOTE_BULL,-1.4,10.3,NEUTRAL,N,25.6,-7.1,BAL,ASK_STRONG,BAL,0,0,0,0,1.5,-0.25,4,0
55:33.6,7248,TICK,BullTrend,P4_VOTE_BULL,-1.2,10.1,NEUTRAL,Y,24.8,6.5,BAL,ASK,BAL,0,0,0,0,1.5,0,4,0
55:38.6,7248,TICK,BearWarning,P3_DISTRIBUTION,-1.3,10.1,DISTRIBUTION,Y,24.9,33.8,ASK_STRONG,ASK,BAL,0,0,0,0,1.5,0,4,0
55:39.9,7248,TICK,BearWarning,P3_DISTRIBUTION,-1.2,10.1,DISTRIBUTION,N,23.8,41.4,ASK_STRONG,ASK,BAL,0,0,0,0,1.5,0,3,0
55:41.8,7248,TICK,BearWarning,P3_DISTRIBUTION,-1.4,9.9,DISTRIBUTION,N,24.5,45.1,ASK_STRONG,ASK,BAL,0,0,0,0,1.5,0,3,0
55:44.0,7248,TICK,BullTrend,P4_VOTE_BULL,-1.4,9.9,NEUTRAL,Y,25,47.5,ASK_STRONG,ASK,BAL,0,0,0,0,1.5,0,3,0
55:47.3,7248,TICK,BearWarning,P3_DISTRIBUTION,-0.4,9.7,DISTRIBUTION,N,25.1,33.6,ASK_STRONG,ASK_STRONG,BAL,0,0,0,0,1.25,0,3,0
55:48.4,7248,TICK,BullTrend,P4_VOTE_BULL,-0.6,9.7,NEUTRAL,N,23,26,ASK_STRONG,ASK,BAL,0,0,0,0,1.25,0,3,0
55:51.0,7247.75,TICK,BearWarning,P3_DISTRIBUTION,-0.4,9.7,DISTRIBUTION,N,22.6,37,ASK_STRONG,ASK,BAL,0,0,0,0,1,-0.25,4,0
55:53.3,7248,TICK,BullTrend,P4_VOTE_BULL,-0.6,9.8,NEUTRAL,N,22.2,40.6,ASK_STRONG,ASK,BAL,0,0,0,0,1.25,0,4,0
55:54.7,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.6,9.8,NEUTRAL,N,21.8,40.5,ASK_STRONG,ASK,BAL,0,0,0,0,1,-0.25,3,0
55:57.5,7248,TICK,BullTrend,P4_VOTE_BULL,-0.8,9.8,NEUTRAL,N,21.2,37.1,ASK_STRONG,ASK,BAL,0,0,0,0,1.25,0,3,0
55:58.7,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.8,9.8,NEUTRAL,Y,21.1,37.2,ASK_STRONG,ASK,BAL,0,0,0,0,1,0,3,0
56:00.0,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.8,9.8,NEUTRAL,N,20.9,37.4,ASK_STRONG,ASK,BAL,0,0,0,0,1,0,3,0
56:02.8,7247.75,TICK,BullTrend,P4_VOTE_BULL,-0.8,9.8,NEUTRAL,N,20.8,37.3,ASK_STRONG,ASK,BAL,0,0,0,0,1,0,3,0
