Time,Price,BarState,LiveState,Priority,Composite,TideComp,MarketPhase,InversionActive,RatioScore,FastScore,FastDir,SlowDir,Bias,Tier3Score,CombinedTier,BearDomPct,BullDomPct,DomPriceChange,PriceChangeShort,CountBull,CountBear
09:23:59.542,7264.00,TICK,BullWarning,P3_ACCUMULATION,8.8,0.7,ACCUMULATION,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,0,0,0.00,0.00,0,0
09:24:02.059,7264.00,TICK,BullWarning,P1_COMP_BULL_WARN,-33.5,0.7,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,0,0,0.00,0.00,0,0
09:24:03.124,7264.00,TICK,BullWarning,NONE,6.9,0.7,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,0,0,0.00,0.00,0,0
09:24:04.637,7264.00,TICK,BullWarning,P3_ACCUMULATION,6.9,3.1,ACCUMULATION,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,0,0,0.00,0.00,0,0
09:24:06.300,7264.00,TICK,BullWarning,P3_ACCUMULATION,10.4,3.1,ACCUMULATION,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,29,42,0.00,0.00,0,0
09:24:07.439,7264.00,TICK,BullWarning,NONE,4.2,3.1,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,27,39,0.00,0.00,0,0
09:24:10.456,7264.00,TICK,BullWarning,P3_ACCUMULATION,2.9,3.1,ACCUMULATION,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,19,28,0.00,0.00,0,0
09:24:14.346,7264.00,TICK,BullWarning,NONE,2.9,3.1,NEUTRAL,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,17,25,0.00,0.00,0,0
09:24:19.833,7264.00,TICK,BullWarning,P3_ACCUMULATION,2.9,3.1,ACCUMULATION,N,0.0,0.0,BAL,BAL,BAL,0.0,0.0,16,24,0.00,0.00,0,0
09:24:22.563,7264.00,TICK,BearWarning,P1_COMP_BEAR_WARN,25.4,47.3,NEUTRAL,N,-17.7,-17.7,BID,BID,BAL,0.0,0.0,34,19,0.00,0.00,0,0
09:24:23.886,7264.00,TICK,BullWarning,P3_ACCUMULATION,11.8,17.4,ACCUMULATION,N,-28.9,-28.9,BID_STRONG,BID_STRONG,BAL,0.0,0.0,33,18,0.00,0.00,0,0
09:24:30.611,7264.00,TICK,BearWarning,P0_FAST_EXTREME_BEAR,13.2,17.4,NEUTRAL,N,-42.1,-42.1,BID_STRONG,BID_STRONG,BAL,0.0,0.0,28,15,0.00,0.00,1,0
09:24:32.011,7264.00,TICK,BearWarning,P0_FAST_EXTREME_BEAR,3.9,17.7,NEUTRAL,N,-42.3,-42.7,BID_STRONG,BID_STRONG,BAL,0.0,0.0,27,15,0.00,0.00,1,0
09:24:38.926,7264.00,TICK,BearWarning,P0_FAST_EXTREME_BEAR,5.4,17.3,NEUTRAL,Y,-44.6,-45.6,BID_STRONG,BID_STRONG,BAL,0.0,0.0,27,14,0.00,0.00,0,1
09:24:40.871,7264.00,TICK,BearWarning,P0_FAST_EXTREME_BEAR,9.6,17.3,NEUTRAL,N,-46.4,-48.1,BID_STRONG,BID_STRONG,BAL,0.0,0.0,23,13,0.00,0.00,0,1
09:24:42.288,7264.00,TICK,BearWarning,P0_FAST_EXTREME_BEAR,16.8,70.9,DISTRIBUTION,N,-46.9,-49.1,BID_STRONG,BID_STRONG,BAL,0.0,0.0,34,11,0.00,0.00,0,1
09:24:44.664,7264.00,TICK,BearWarning,P0_FAST_EXTREME_BEAR,16.9,70.9,NEUTRAL,N,-45.3,-48.5,BID_STRONG,BID_STRONG,BAL,0.0,0.0,43,9,0.00,0.00,0,1
09:24:48.714,7264.00,TICK,BearWarning,P1_COMP_BEAR_WARN,25.3,79.3,NEUTRAL,N,-33.8,-38.4,BID_STRONG,BID_STRONG,BAL,0.0,0.0,46,9,0.00,0.00,0,1
09:24:50.402,7263.75,TICK,BearWarning,P1_COMP_BEAR_WARN,24.8,79.3,NEUTRAL,Y,-24.2,-31.2,BID_STRONG,BID,BAL,0.0,0.0,52,8,-0.25,-0.25,0,1
09:24:54.442,7263.75,TICK,BearWarning,P1_COMP_BEAR_WARN,30.1,82.6,NEUTRAL,N,-20.3,-29.8,BID_STRONG,BID,BAL,0.0,0.0,56,7,-0.25,-0.25,0,1
09:24:56.520,7263.75,TICK,BearWarning,P1_COMP_BEAR_WARN,28.9,82.4,NEUTRAL,N,-20.6,-30.5,BID_STRONG,BID,BAL,0.0,0.0,56,7,-0.25,-0.25,0,2
09:24:57.591,7264.00,TICK,BearWarning,P1_COMP_BEAR_WARN,29.3,82.4,NEUTRAL,N,-21.1,-31.0,BID_STRONG,BID,BAL,0.0,0.0,59,7,0.00,0.25,0,2
09:24:58.781,7264.00,TICK,BearWarning,P1_COMP_BEAR_WARN,22.6,70.2,NEUTRAL,N,-19.0,-30.5,BID_STRONG,BID,BAL,0.0,0.0,60,7,0.00,0.25,0,2
09:24:59.191,7263.75,BAR_CLOSE,BearWarning,FINALIZED,10.1,50.2,NEUTRAL,Y,-19.0,-24.6,BID,BID,BAL,0.0,0.0,45,3,-0.25,0.00,1,2
09:24:59.948,7263.75,TICK,BearWarning,NONE,8.6,44.0,NEUTRAL,N,-14.9,-1.8,BAL,BID,BAL,0.0,0.0,49,2,-0.25,0.25,1,2
09:25:01.086,7263.50,TICK,BearTrend,P4_VOTE_BEAR,7.8,44.0,NEUTRAL,N,-9.8,21.2,ASK,BAL,BAL,0.0,0.0,48,2,-0.50,-0.25,1,3
09:25:02.121,7263.50,TICK,BearTrend,P4_VOTE_BEAR,7.0,43.9,NEUTRAL,N,-10.1,19.3,ASK,BID,BAL,0.0,0.0,48,2,-0.50,0.00,1,3
09:25:03.136,7263.50,TICK,BullSignal,P0_FAST_BULL_AT_BOTTOM,7.6,43.9,NEUTRAL,N,-8.5,30.2,ASK_STRONG,BAL,BAL,0.0,0.0,47,2,-0.50,0.00,1,3
