Time,Price,WindowType,WindowValue,Samples,WeightedDomAvg,WeightedTapeAvg,RatioScore,FastScore,SlowDir,FastDir,Bias
55:00.4,7247,TICKS=800,800,2.548696788,0.9541,0.8854,47.7,44.3,ASK_STRONG,ASK_STRONG,BAL
55:03.1,7247,TICKS=800,800,2.523404834,0.9254,0.7766,46.3,38.8,ASK_STRONG,ASK_STRONG,BAL
55:05.3,7247,TICKS=800,800,2.120016224,0.908,0.6726,45.4,33.6,ASK_STRONG,ASK_STRONG,BAL
55:08.9,7247,TICKS=800,800,2.007244496,0.8782,0.5737,43.9,28.7,ASK_STRONG,ASK_STRONG,BAL
55:10.9,7248.5,TICKS=800,800,5.481317886,0.8906,0.3316,44.5,16.6,ASK_STRONG,ASK,BAL
55:13.0,7248.5,TICKS=800,800,5.673771665,0.879,0.2466,44,12.3,ASK_STRONG,ASK,BAL
55:16.0,7248.25,TICKS=800,800,5.272733532,0.824,-0.3488,41.2,-17.4,ASK_STRONG,BID,BAL
55:18.6,7248.25,TICKS=800,800,4.75395905,0.6718,-0.348,33.6,-17.4,ASK_STRONG,BID,BAL
55:23.9,7248.25,TICKS=800,800,1.716684025,0.6144,-0.18,30.7,-9,ASK_STRONG,BAL,BAL
55:26.6,7248,TICKS=800,800,3.667187142,0.5468,-0.1415,27.3,-7.1,ASK_STRONG,BAL,BAL
55:28.8,7248,TICKS=800,800,3.356924621,0.5245,-0.1391,26.2,-7,ASK_STRONG,BAL,BAL
55:30.8,7248,TICKS=800,800,2.635569534,0.5159,-0.1399,25.8,-7,ASK_STRONG,BAL,BAL
55:33.6,7248,TICKS=800,800,3.221557501,0.488,0.261,24.4,13.1,ASK,ASK,BAL
55:38.6,7248,TICKS=800,800,1.544987607,0.5113,0.7062,25.6,35.3,ASK_STRONG,ASK_STRONG,BAL
55:40.6,7248,TICKS=800,800,3.90788903,0.4912,0.8798,24.6,44,ASK,ASK_STRONG,BAL
55:44.0,7248,TICKS=800,800,3.238021725,0.5184,0.9562,25.9,47.8,ASK_STRONG,ASK_STRONG,BAL
55:47.3,7248,TICKS=800,800,2.00435827,0.4864,0.5828,24.3,29.1,ASK,ASK_STRONG,BAL
55:51.0,7247.75,TICKS=800,800,2.434510977,0.4443,0.7282,22.2,36.4,ASK,ASK_STRONG,BAL
55:53.3,7248,TICKS=800,800,2.092393164,0.4423,0.7443,22.1,37.2,ASK,ASK_STRONG,BAL
55:55.4,7247.75,TICKS=800,800,4.42217608,0.4232,0.7205,21.2,36,ASK,ASK_STRONG,BAL
55:57.5,7248,TICKS=800,800,3.099008092,0.4211,0.73,21.1,36.5,ASK,ASK_STRONG,BAL
56:00.0,7247.75,TICKS=800,800,3.654489707,0.4174,0.7431,20.9,37.2,ASK,ASK_STRONG,BAL
56:02.8,7247.75,TICKS=800,800,3.331188983,0.4152,0.7472,20.8,37.4,ASK,ASK_STRONG,BAL
56:06.3,7247.75,TICKS=800,800,2.631542333,0.3892,0.5233,19.5,26.2,ASK,ASK_STRONG,BAL
56:13.1,7247.75,TICKS=800,800,1.350245351,0.3827,0.4527,19.1,22.6,ASK,ASK,BAL
56:21.2,7247.75,TICKS=800,800,1.075753829,0.3828,0.0433,19.1,2.2,ASK,BAL,BAL
56:26.6,7247.75,TICKS=800,800,1.15437541,0.3828,0.0164,19.1,0.8,ASK,BAL,BAL
56:29.2,7247.75,TICKS=800,800,1.465365527,0.3808,-0.0193,19,-1,ASK,BAL,BAL
56:31.8,7247.75,TICKS=800,800,2.279425414,0.3887,0.1406,19.4,7,ASK,BAL,BAL
56:35.6,7247.75,TICKS=800,800,2.33404458,0.3923,0.093,19.6,4.6,ASK,BAL,BAL
56:42.4,7247.75,TICKS=800,800,1.496286193,0.3367,-0.2277,16.8,-11.4,ASK,BID,BAL
56:47.4,7248,TICKS=800,800,1.534305529,0.3839,-0.1377,19.2,-6.9,ASK,BAL,BAL
56:49.8,7248,TICKS=800,800,1.638523586,0.3252,-0.3148,16.3,-15.7,ASK,BID,BAL
56:55.4,7248,TICKS=800,800,1.693737575,0.3836,-0.0757,19.2,-3.8,ASK,BAL,BAL
56:57.8,7248,TICKS=800,800,2.222264949,0.3914,0.0102,19.6,0.5,ASK,BAL,BAL
57:00.6,7247.75,TICKS=800,800,3.315358645,0.4203,0.0743,21,3.7,ASK,BAL,BAL
57:04.6,7247.75,TICKS=800,800,2.091007817,0.4178,0.0481,20.9,2.4,ASK,BAL,BAL
57:13.2,7248,TICKS=800,800,1.099132278,0.4282,0.0728,21.4,3.6,ASK,BAL,BAL
57:18.0,7248,TICKS=800,800,2.178669187,0.4567,-0.2603,22.8,-13,ASK,BID,BAL
57:20.3,7248,TICKS=800,800,2.524689063,0.2508,-0.2436,12.5,-12.2,ASK,BID,BAL
