Time,Price,WindowType,WindowValue,Samples,WeightedDomAvg,WeightedTapeAvg,RatioScore,FastScore,SlowDir,FastDir,Bias
09:23:58.491,7264.00,TICKS=800,1,1,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
09:24:00.504,7264.00,TICKS=800,5,3.88901817122042,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
09:24:02.745,7264.00,TICKS=800,7,3.53180477887902,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
09:24:06.300,7264.00,TICKS=800,11,3.20206106670345,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
09:24:10.456,7264.00,TICKS=800,14,2.50865952946669,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
09:24:14.346,7264.00,TICKS=800,15,1.62652589507218,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
09:24:19.834,7264.00,TICKS=800,16,1.22966812261772,0.0000,0.0000,0.0,0.0,BAL,BAL,BAL
09:24:22.563,7264.00,TICKS=800,18,1.93844161407068,-0.5090,-0.5090,-25.4,-25.4,BID_STRONG,BID_STRONG,BAL
09:24:30.612,7264.00,TICKS=800,22,1.33892554293551,-0.8584,-0.8584,-42.9,-42.9,BID_STRONG,BID_STRONG,BAL
09:24:38.926,7264.00,TICKS=800,24,1.15387895197189,-0.9011,-0.9354,-45.1,-46.8,BID_STRONG,BID_STRONG,BAL
09:24:41.652,7264.00,TICKS=800,26,2.19405664259687,-0.9394,-0.9872,-47.0,-49.4,BID_STRONG,BID_STRONG,BAL
09:24:44.664,7264.00,TICKS=800,29,2.72720384666824,-0.8801,-0.9577,-44.0,-47.9,BID_STRONG,BID_STRONG,BAL
09:24:48.714,7264.00,TICKS=800,31,1.93235321706489,-0.5687,-0.6787,-28.4,-33.9,BID_STRONG,BID_STRONG,BAL
09:24:54.442,7263.75,TICKS=800,35,1.87911073098484,-0.4199,-0.5996,-21.0,-30.0,BID,BID_STRONG,BAL
09:24:56.520,7263.75,TICKS=800,36,1.89556557253735,-0.4195,-0.6130,-21.0,-30.6,BID,BID_STRONG,BAL
09:24:58.782,7264.00,TICKS=800,40,3.88253359193682,-0.3828,-0.6298,-19.1,-31.5,BID,BID_STRONG,BAL
09:25:01.086,7263.50,TICKS=800,52,9.19683953268236,-0.2096,0.3711,-10.5,18.6,BID,ASK,BAL
09:25:03.136,7263.50,TICKS=800,58,8.98790102199573,-0.1635,0.6443,-8.2,32.2,BAL,ASK_STRONG,BAL
09:25:05.338,7263.25,TICKS=800,63,7.37761936972568,-0.1205,0.7929,-6.0,39.6,BAL,ASK_STRONG,BAL
09:25:08.065,7263.25,TICKS=800,67,5.67329561976202,-0.1004,0.8056,-5.0,40.3,BAL,ASK_STRONG,BAL
09:25:10.542,7263.25,TICKS=800,74,6.4570520482661,-0.0759,0.4153,-3.8,20.8,BAL,ASK,BAL
09:25:13.062,7263.00,TICKS=800,79,6.05235781204263,-0.0763,0.1937,-3.8,9.7,BAL,BAL,BAL
09:25:15.785,7263.00,TICKS=800,83,5.15008050697299,-0.1723,-0.1846,-8.6,-9.2,BAL,BAL,BAL
09:25:17.951,7263.00,TICKS=800,87,5.56623942487557,-0.2242,-0.4162,-11.2,-20.8,BID,BID,BAL
09:25:20.260,7263.00,TICKS=800,93,7.2367683637736,-0.2490,-0.4777,-12.4,-23.9,BID,BID,BAL
09:25:24.244,7263.00,TICKS=800,96,3.57664109613668,-0.3073,-0.5967,-15.4,-29.8,BID,BID_STRONG,BAL
09:25:26.330,7263.00,TICKS=800,98,3.2726884971854,-0.3348,-0.7182,-16.7,-35.9,BID,BID_STRONG,BAL
09:25:28.917,7263.00,TICKS=800,104,5.36661879316961,-0.3003,-0.6089,-15.0,-30.4,BID,BID_STRONG,BAL
09:25:31.512,7263.00,TICKS=800,109,5.18288558492281,-0.3287,-0.6486,-16.4,-32.4,BID,BID_STRONG,BAL
09:25:33.889,7263.00,TICKS=800,113,5.30495340210954,-0.3462,-0.6251,-17.3,-31.3,BID,BID_STRONG,BAL
09:25:36.621,7263.00,TICKS=800,116,4.18539689995423,-0.3289,-0.5352,-16.4,-26.8,BID,BID_STRONG,BAL
09:25:39.464,7263.00,TICKS=800,120,4.04066130239803,-0.3128,-0.5027,-15.6,-25.1,BID,BID_STRONG,BAL
09:25:42.208,7263.00,TICKS=800,125,4.76303487359837,-0.3161,-0.2233,-15.8,-11.2,BID,BID,BAL
09:25:44.218,7263.00,TICKS=800,127,3.84649627162849,-0.3142,-0.1491,-15.7,-7.5,BID,BAL,BAL
