Time,Price,Lots,Side,Classification,ContributesTo,IcebergFlag,IcebergRefills,IcebergTotalVol,InversionActive,CompositePct,MarketPhase
55:00.0,7278.25,3,BUY,INVERTED,NET,,,,INVERT,52.4,NEUTRAL
55:00.0,7278.25,5,SELL,INVERTED,NET,,,,INVERT,52.4,NEUTRAL
55:00.0,7278.5,9,BUY,INVERTED,NET,ICEBERG_ASK,4,35,INVERT,52.4,NEUTRAL
55:00.1,7278.25,5,SELL,INVERTED,NET,,,,INVERT,52.4,NEUTRAL
55:00.2,7278.5,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,3,64,FACE,52.5,NEUTRAL
55:00.3,7278.5,25,SELL,INVERTED,NET+TIDE,ICEBERG_BID,4,36,INVERT,52.5,NEUTRAL
55:00.5,7278.5,4,BUY,INVERTED,NET,ICEBERG_ASK,5,39,INVERT,52.7,NEUTRAL
55:00.5,7278.25,1,SELL,REAL_SMALL,NET,ICEBERG_BID,5,50,FACE,52.7,NEUTRAL
55:01.4,7278.25,27,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,6,66,INVERT,52.7,NEUTRAL
55:01.6,7278,1,SELL,REAL_SMALL,NET,ICEBERG_BID,6,51,FACE,52.8,NEUTRAL
55:01.6,7278,26,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,7,92,INVERT,52.8,NEUTRAL
55:01.6,7278.25,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,8,93,FACE,52.6,NEUTRAL
55:01.8,7278,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,9,94,FACE,52.6,NEUTRAL
55:01.9,7277.75,2,SELL,INVERTED,NET,ICEBERG_BID,7,53,INVERT,52.7,NEUTRAL
55:02.3,7278,19,SELL,INVERTED,NET+TIDE,ICEBERG_BID,8,72,INVERT,52.7,NEUTRAL
55:02.3,7278,3,BUY,INVERTED,NET,ICEBERG_ASK,10,97,INVERT,53.1,NEUTRAL
55:02.3,7278,6,SELL,INVERTED,NET,ICEBERG_BID,9,78,INVERT,53.1,NEUTRAL
55:02.8,7278,12,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,11,109,INVERT,53.8,NEUTRAL
55:02.9,7277.75,1,SELL,REAL_SMALL,NET,ICEBERG_BID,10,79,FACE,53.8,NEUTRAL
55:03.0,7278,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,12,110,FACE,53.8,NEUTRAL
55:03.1,7277.75,1,SELL,REAL_SMALL,NET,ICEBERG_BID,11,80,FACE,53.8,NEUTRAL
55:03.1,7278.25,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,13,111,FACE,53.9,NEUTRAL
55:03.1,7278,7,BUY,INVERTED,NET,ICEBERG_ASK,14,118,INVERT,54,NEUTRAL
55:03.2,7278,4,SELL,INVERTED,NET,ICEBERG_BID,12,84,INVERT,54.2,NEUTRAL
55:03.2,7278.25,2,BUY,INVERTED,NET,ICEBERG_ASK,15,120,INVERT,54.5,NEUTRAL
55:03.9,7278.25,34,SELL,INVERTED,NET+TIDE,ICEBERG_BID,5,70,INVERT,54.4,NEUTRAL
55:04.1,7278.5,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,4,65,FACE,54.8,NEUTRAL
55:04.1,7278.5,10,SELL,INVERTED,NET+TIDE,ICEBERG_BID,6,80,INVERT,54.7,NEUTRAL
55:04.2,7278.75,11,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,5,76,INVERT,54.8,NEUTRAL
55:04.2,7278.5,1,SELL,REAL_SMALL,NET,ICEBERG_BID,7,81,FACE,54.5,NEUTRAL
55:04.4,7278.75,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,6,77,FACE,54.3,NEUTRAL
55:04.4,7278.5,7,BUY,INVERTED,NET,ICEBERG_ASK,7,84,INVERT,53.9,NEUTRAL
55:04.4,7278.25,1,SELL,REAL_SMALL,NET,ICEBERG_BID,8,82,FACE,53.7,NEUTRAL
55:04.9,7278.5,2,BUY,INVERTED,NET,ICEBERG_ASK,8,86,INVERT,53.7,NEUTRAL
55:05.5,7278.75,17,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,9,103,INVERT,53.7,NEUTRAL
55:06.0,7278.5,29,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,10,132,INVERT,53.5,NEUTRAL
55:06.1,7278.75,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,11,133,FACE,53.1,NEUTRAL
55:06.2,7278.5,6,BUY,INVERTED,NET,ICEBERG_ASK,12,139,INVERT,52.9,NEUTRAL
55:06.2,7278.75,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,13,140,FACE,52.8,NEUTRAL
55:06.9,7278.5,6,SELL,INVERTED,NET,ICEBERG_BID,9,88,INVERT,52.7,NEUTRAL
55:07.0,7278.75,9,BUY,INVERTED,NET,ICEBERG_ASK,14,149,INVERT,52.4,NEUTRAL
55:07.1,7278.75,4,SELL,INVERTED,NET,ICEBERG_BID,10,92,INVERT,52.5,NEUTRAL
55:07.3,7278.75,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,15,150,FACE,52.4,NEUTRAL
55:07.4,7278.75,5,SELL,INVERTED,NET,ICEBERG_BID,11,97,INVERT,52.4,NEUTRAL
55:07.7,7278.75,11,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,16,161,INVERT,52.2,NEUTRAL
55:07.8,7278.75,3,SELL,INVERTED,NET,,,,INVERT,51.9,NEUTRAL
55:07.8,7279,4,BUY,INVERTED,NET,ICEBERG_ASK,17,165,INVERT,51.8,NEUTRAL
55:07.9,7278.75,7,BUY,INVERTED,NET,ICEBERG_ASK,18,172,INVERT,51.6,NEUTRAL
55:08.9,7278.75,12,SELL,INVERTED,NET+TIDE,,,,INVERT,51.5,NEUTRAL
55:09.0,7279,177,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,19,349,INVERT,51.5,NEUTRAL
55:09.0,7278.75,27,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,20,376,INVERT,49.5,NEUTRAL
55:09.3,7278.5,4,SELL,INVERTED,NET,ICEBERG_BID,12,101,INVERT,49.3,NEUTRAL
55:09.6,7278.75,27,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,21,403,INVERT,49.2,NEUTRAL
55:09.7,7278.5,2,BUY,INVERTED,NET,ICEBERG_ASK,22,405,INVERT,49,NEUTRAL
55:09.7,7278.25,2,SELL,INVERTED,NET,ICEBERG_BID,13,103,INVERT,48.9,NEUTRAL
55:10.1,7278.5,2,BUY,INVERTED,NET,ICEBERG_ASK,23,407,INVERT,48.8,NEUTRAL
55:10.2,7278.5,1,SELL,REAL_SMALL,NET,ICEBERG_BID,14,104,FACE,48.8,NEUTRAL
55:10.4,7278.5,3,BUY,INVERTED,NET,ICEBERG_ASK,24,410,INVERT,48.8,NEUTRAL
55:11.3,7278.5,8,SELL,INVERTED,NET,ICEBERG_BID,15,112,INVERT,48.8,NEUTRAL
55:12.1,7278.75,31,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,25,441,INVERT,48.9,NEUTRAL
55:12.5,7278.75,3,SELL,INVERTED,NET,ICEBERG_BID,16,115,INVERT,48.6,NEUTRAL
55:12.6,7278.75,10,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,26,451,INVERT,48.4,NEUTRAL
55:13.0,7278.5,2,SELL,INVERTED,NET,ICEBERG_BID,17,117,INVERT,48.1,NEUTRAL
55:13.1,7278.5,20,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,27,471,INVERT,48.1,NEUTRAL
55:13.2,7278,4,SELL,INVERTED,NET,ICEBERG_BID,18,121,INVERT,47.8,NEUTRAL
55:13.3,7278.25,3,SELL,INVERTED,NET,ICEBERG_BID,19,124,INVERT,48,NEUTRAL
55:13.3,7278.25,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,28,472,FACE,48,NEUTRAL
55:13.4,7278.25,16,SELL,INVERTED,NET+TIDE,ICEBERG_BID,20,140,INVERT,48,NEUTRAL
55:13.6,7278.5,4,BUY,INVERTED,NET,ICEBERG_ASK,29,476,INVERT,48.5,NEUTRAL
55:13.7,7278.25,2,SELL,INVERTED,NET,ICEBERG_BID,21,142,INVERT,48.6,NEUTRAL
55:13.9,7278.5,1,BUY,REAL_SMALL,NET,ICEBERG_ASK,30,477,FACE,48.6,NEUTRAL
55:13.9,7278,1,SELL,REAL_SMALL,NET,ICEBERG_BID,22,143,FACE,48.7,NEUTRAL
55:14.1,7278.25,2,SELL,INVERTED,NET,ICEBERG_BID,23,145,INVERT,48.7,NEUTRAL
55:14.1,7278.5,48,SELL,INVERTED,NET+TIDE,ICEBERG_BID,24,193,INVERT,48.7,NEUTRAL
55:14.2,7278.75,38,SELL,INVERTED,NET+TIDE,ICEBERG_BID,3,53,INVERT,49.1,NEUTRAL
55:14.2,7279,2,SELL,INVERTED,NET,ICEBERG_BID,25,195,INVERT,49.7,NEUTRAL
55:14.2,7278.5,1,SELL,REAL_SMALL,NET,ICEBERG_BID,26,196,FACE,49.9,NEUTRAL
55:14.3,7278.75,39,SELL,INVERTED,NET+TIDE,ICEBERG_BID,4,92,INVERT,49.9,NEUTRAL
55:14.3,7279,114,SELL,INVERTED,NET+TIDE,ICEBERG_BID,5,206,INVERT,50.4,NEUTRAL
55:14.3,7279.25,2,SELL,INVERTED,NET,ICEBERG_BID,6,208,INVERT,51.9,NEUTRAL
55:14.3,7279,12,SELL,INVERTED,NET+TIDE,ICEBERG_BID,7,220,INVERT,51.9,NEUTRAL
55:14.3,7279.25,12,SELL,INVERTED,NET+TIDE,ICEBERG_BID,8,232,INVERT,52.1,NEUTRAL
55:14.3,7279,1,SELL,REAL_SMALL,NET,ICEBERG_BID,9,233,FACE,52.3,NEUTRAL
55:14.3,7279.25,19,SELL,INVERTED,NET+TIDE,,,,INVERT,52.3,NEUTRAL
55:14.4,7279.5,21,BUY,INVERTED,NET+TIDE,,,,INVERT,52.6,NEUTRAL
55:14.4,7279.75,9,BUY,INVERTED,NET,,,,INVERT,52.5,NEUTRAL
55:14.8,7279.5,35,BUY,INVERTED,NET+TIDE,ICEBERG_ASK,3,65,INVERT,52.7,NEUTRAL
55:15.1,7279.25,12,SELL,INVERTED,NET+TIDE,,,,INVERT,52.6,NEUTRAL
55:15.1,7279.5,1,BUY,REAL_SMALL,NET,,,,FACE,52.6,NEUTRAL
55:15.2,7279.25,1,SELL,REAL_SMALL,NET,ICEBERG_BID,3,33,FACE,52.7,NEUTRAL
55:15.3,7279.5,8,BUY,INVERTED,NET,,,,INVERT,52.9,NEUTRAL
55:15.3,7279.5,13,SELL,INVERTED,NET+TIDE,ICEBERG_BID,4,46,INVERT,52.9,NEUTRAL
55:15.4,7279.75,36,SELL,INVERTED,NET+TIDE,,,,INVERT,53.2,NEUTRAL
55:15.4,7280,7,SELL,INVERTED,NET,ICEBERG_BID,5,53,INVERT,53.5,NEUTRAL
55:15.4,7279.75,11,SELL,INVERTED,NET+TIDE,ICEBERG_BID,6,64,INVERT,53.6,NEUTRAL
55:15.4,7279.5,1,SELL,REAL_SMALL,NET,ICEBERG_BID,7,65,FACE,53.9,NEUTRAL
55:15.5,7279.75,26,SELL,INVERTED,NET+TIDE,,,,INVERT,54,NEUTRAL
55:15.5,7280,24,SELL,INVERTED,NET+TIDE,ICEBERG_BID,3,86,INVERT,54.2,NEUTRAL
55:15.6,7280.25,32,SELL,INVERTED,NET+TIDE,,,,INVERT,54.6,NEUTRAL
55:15.6,7280.5,29,SELL,INVERTED,NET+TIDE,,,,INVERT,55.1,NEUTRAL
55:15.7,7280.75,49,SELL,INVERTED,NET+TIDE,,,,INVERT,55.6,NEUTRAL
55:15.8,7281,270,SELL,INVERTED,NET+TIDE,ICEBERG_BID,3,331,INVERT,56,NEUTRAL
55:15.8,7280.75,4,SELL,INVERTED,NET,,,,INVERT,58.4,NEUTRAL
55:15.9,7281,99,SELL,INVERTED,NET+TIDE,ICEBERG_BID,3,152,INVERT,57.5,NEUTRAL
55:15.9,7281.25,34,SELL,INVERTED,NET+TIDE,,,,INVERT,57.7,NEUTRAL
55:15.9,7281.5,45,SELL,INVERTED,NET+TIDE,,,,INVERT,58,NEUTRAL
55:16.0,7281.75,31,SELL,INVERTED,NET+TIDE,,,,INVERT,59.7,NEUTRAL
55:16.0,7282,40,SELL,INVERTED,NET+TIDE,,,,INVERT,59.9,NEUTRAL
55:16.0,7282.25,52,BUY,INVERTED,NET+TIDE,,,,INVERT,59.8,NEUTRAL
