Time,Price,Lots,Side,Classification,ContributesTo,IcebergFlag,IcebergRefills,IcebergTotalVol,InversionActive,CompositePct,MarketPhase
14:17:48.909,27576.25,1,SELL,REAL_SMALL,NET,,,,FACE,50.0,NEUTRAL
14:17:48.917,27577.50,3,SELL,REAL,NET,,,,FACE,25.0,NEUTRAL
14:17:48.918,27578.50,3,BUY,REAL,NET,,,,FACE,25.0,NEUTRAL
14:17:49.237,27578.75,1,BUY,REAL_SMALL,NET,,,,FACE,42.9,NEUTRAL
14:17:50.845,27578.50,1,BUY,REAL_SMALL,NET,,,,FACE,50.0,NEUTRAL
14:17:51.494,27577.50,4,BUY,INVERTED,NET,,,,INVERT,55.6,NEUTRAL
14:17:51.495,27578.25,1,BUY,REAL_SMALL,NET,,,,FACE,38.5,NEUTRAL
14:17:51.980,27578.00,2,BUY,INVERTED,NET,,,,INVERT,42.9,NEUTRAL
14:17:52.875,27577.00,5,SELL,REAL,NET,,,,FACE,37.5,NEUTRAL
14:17:52.875,27577.50,1,SELL,REAL_SMALL,NET,,,,FACE,28.6,NEUTRAL
14:17:53.249,27578.25,1,BUY,REAL_SMALL,NET,,,,FACE,27.3,NEUTRAL
14:17:53.250,27578.25,1,SELL,REAL_SMALL,NET,,,,FACE,30.4,NEUTRAL
14:17:56.159,27578.50,4,SELL,REAL,NET,,,,FACE,29.2,NEUTRAL
14:17:56.551,27579.25,1,SELL,REAL_SMALL,NET,,,,FACE,25.0,NEUTRAL
14:17:57.065,27580.25,1,BUY,REAL_SMALL,NET,,,,FACE,25.0,NEUTRAL
14:17:57.192,27579.25,1,BUY,REAL_SMALL,NET,,,,FACE,26.7,NEUTRAL
14:17:59.006,27579.00,1,SELL,REAL_SMALL,NET,,,,FACE,29.0,NEUTRAL
14:17:59.371,27580.25,1,BUY,REAL_SMALL,NET,,,,FACE,28.1,NEUTRAL
14:17:59.628,27580.25,1,SELL,REAL_SMALL,NET,,,,FACE,30.3,NEUTRAL
14:18:00.127,27581.00,3,BUY,REAL,NET,,,,FACE,29.4,NEUTRAL
14:18:00.902,27580.75,1,BUY,REAL_SMALL,NET,,,,FACE,35.1,NEUTRAL
14:18:01.526,27581.00,1,BUY,REAL_SMALL,NET,,,,FACE,36.8,NEUTRAL
14:18:01.526,27580.50,1,SELL,REAL_SMALL,NET,,,,FACE,38.5,NEUTRAL
14:18:02.092,27581.25,2,SELL,REAL,NET,,,,FACE,37.5,NEUTRAL
14:18:02.094,27580.50,4,SELL,REAL,NET,,,,FACE,35.7,NEUTRAL
14:18:03.251,27580.75,2,SELL,REAL,NET,,,,FACE,32.6,NEUTRAL
14:18:03.535,27580.50,12,BUY,REAL,NET+TIDE,,,,FACE,31.3,NEUTRAL
14:18:03.915,27581.00,1,SELL,REAL_SMALL,NET,,,,FACE,70.0,NEUTRAL
14:18:05.142,27580.75,1,SELL,REAL_SMALL,NET,,,,FACE,69.3,NEUTRAL
14:18:05.420,27581.50,3,BUY,REAL,NET,,,,FACE,68.5,NEUTRAL
14:18:05.489,27582.00,3,BUY,REAL,NET,,,,FACE,71.2,NEUTRAL
14:18:06.409,27581.50,1,SELL,REAL_SMALL,NET,,,,FACE,73.5,NEUTRAL
14:18:06.637,27582.50,5,BUY,REAL,NET,,,,FACE,72.8,NEUTRAL
14:18:07.241,27583.00,4,BUY,REAL,NET,,,,FACE,76.4,NEUTRAL
14:18:07.831,27582.50,2,BUY,REAL,NET,,,,FACE,78.8,NEUTRAL
14:18:10.320,27582.00,1,SELL,REAL_SMALL,NET,,,,FACE,80.0,NEUTRAL
14:18:11.280,27580.75,3,SELL,REAL,NET,,,,FACE,79.3,NEUTRAL
14:18:11.281,27583.00,2,SELL,REAL,NET,,,,FACE,77.4,NEUTRAL
14:18:11.845,27583.25,3,BUY,REAL,NET,,,,FACE,76.2,NEUTRAL
14:18:12.285,27582.00,1,SELL,REAL_SMALL,NET,,,,FACE,77.8,NEUTRAL
14:18:12.692,27582.75,2,BUY,REAL,NET,,,,FACE,77.2,NEUTRAL
14:18:12.696,27583.00,2,BUY,REAL,NET,,,,FACE,78.3,NEUTRAL
14:18:12.696,27583.25,1,BUY,REAL_SMALL,NET,,,,FACE,79.3,NEUTRAL
14:18:12.891,27583.00,1,BUY,REAL_SMALL,NET,,,,FACE,79.7,NEUTRAL
14:18:13.403,27583.25,1,BUY,REAL_SMALL,NET,,,,FACE,80.2,NEUTRAL
14:18:13.404,27582.75,2,SELL,REAL,NET,,,,FACE,80.7,NEUTRAL
14:18:13.466,27582.50,2,SELL,REAL,NET,,,,FACE,79.5,NEUTRAL
14:18:13.467,27582.75,1,SELL,REAL_SMALL,NET,,,,FACE,78.5,NEUTRAL
14:18:13.751,27582.50,1,SELL,REAL_SMALL,NET,,,,FACE,77.9,NEUTRAL
14:18:14.520,27583.50,1,BUY,REAL_SMALL,NET,,,,FACE,77.4,NEUTRAL
14:18:14.583,27583.25,1,BUY,REAL_SMALL,NET,,,,FACE,77.9,NEUTRAL
14:18:14.888,27583.25,1,SELL,REAL_SMALL,NET,,,,FACE,78.3,NEUTRAL
14:18:14.891,27583.75,4,BUY,REAL,NET,,,,FACE,77.8,NEUTRAL
14:18:15.629,27583.25,1,SELL,REAL_SMALL,NET,,,,FACE,79.5,NEUTRAL
14:18:16.186,27582.50,2,BUY,REAL,NET,,,,FACE,79.1,NEUTRAL
14:18:16.895,27582.00,1,SELL,REAL_SMALL,NET,,,,FACE,79.9,NEUTRAL
14:18:17.056,27582.25,1,BUY,REAL_SMALL,NET,,,,FACE,79.4,NEUTRAL
14:18:17.056,27582.00,1,SELL,REAL_SMALL,NET,,,,FACE,79.8,NEUTRAL
14:18:17.101,27581.75,11,SELL,REAL,NET+TIDE,,,,FACE,79.3,NEUTRAL
14:18:18.218,27582.00,1,SELL,REAL_SMALL,NET,,,,FACE,51.8,NEUTRAL
14:18:18.285,27582.50,1,SELL,REAL_SMALL,NET,,,,FACE,51.4,NEUTRAL
14:18:18.898,27583.50,1,BUY,REAL_SMALL,NET,,,,FACE,51.0,NEUTRAL
